,Portfolio-Value-diff,Market-based-PnL,Summe Einzel-Tages-PnL,Abweichung (Portfolio vs Market),Abweichung (Portfolio vs Summe)
2024-03-28,-2180.151293462841,-2180.1512934628163,-2180.1512934628167,-2.4556356947869062e-11,-2.4101609596982598e-11
2024-03-29,2.9103830456733704e-11,0.0,0.0,2.9103830456733704e-11,2.9103830456733704e-11
2024-04-01,-432.39509830399766,8286.47413591485,8286.474135914852,-8718.869234218848,-8718.86923421885
2024-04-02,-1687.1956742496695,-1687.1956742496209,-1687.195674249621,-4.865796654485166e-11,-4.843059286940843e-11
2024-04-03,4938.090048379527,4938.090048379517,4938.090048379518,1.000444171950221e-11,9.094947017729282e-12
2024-04-04,-2952.5570803923474,-2952.557080392296,-2952.557080392296,-5.1386450650170445e-11,-5.1386450650170445e-11
2024-04-05,4114.1472476119525,4114.14724761189,4114.14724761189,6.275513442233205e-11,6.275513442233205e-11
2024-04-08,-2.243511645880062,-2.2435116458806306,-2.2435116458805453,5.684341886080801e-13,4.831690603168681e-13
2024-04-09,-3413.5864379532577,-3413.5864379532013,-3413.5864379532013,-5.638867150992155e-11,-5.638867150992155e-11
2024-04-10,1264.5584595132677,1264.55845951324,1264.55845951324,2.773958840407431e-11,2.773958840407431e-11
2024-04-11,1677.8404307743767,1677.8404307743356,1677.8404307743353,4.1154635255225e-11,4.1382008930668235e-11
2024-04-12,-4942.661583122041,-4942.661583122077,-4942.661583122077,3.637978807091713e-11,3.637978807091713e-11
2024-04-15,-4704.104811526195,-4704.104811526186,-4704.104811526186,-9.094947017729282e-12,-9.094947017729282e-12
2024-04-16,186.3484387099743,186.3484387100149,186.34843871001505,-4.0614622776047327e-11,-4.0756731323199347e-11
2024-04-17,-1700.2111005218758,-1700.2111005218367,-1700.211100521837,-3.9108272176235914e-11,-3.888089850079268e-11
2024-04-18,-2071.688103690394,-2071.6881036904033,-2071.6881036904033,9.094947017729282e-12,9.094947017729282e-12
2024-04-19,-3909.6543169980287,-3909.654316998016,-3909.654316998016,-1.2732925824820995e-11,-1.2732925824820995e-11
2024-04-22,2816.7052637304587,2816.7052637304664,2816.705263730467,-7.73070496506989e-12,-8.185452315956354e-12
2024-04-23,7342.66029625482,7342.6602962548,7342.660296254801,2.000888343900442e-11,1.9099388737231493e-11
2024-04-24,-542.6468608199502,-542.6468608199834,-542.6468608199833,3.319655661471188e-11,3.3082869776990265e-11
2024-04-25,1929.3987685390748,1929.398768539077,1929.3987685390775,-2.2737367544323206e-12,-2.7284841053187847e-12
2024-04-26,2580.6462095515453,2580.646209551521,2580.6462095515208,2.4101609596982598e-11,2.4556356947869062e-11
2024-04-29,-411.49267306833644,-411.49267306833144,-411.4926730683313,-5.002220859751105e-12,-5.115907697472721e-12
2024-04-30,-4675.831957508868,-4675.8319575088135,-4675.8319575088135,-5.4569682106375694e-11,-5.4569682106375694e-11
2024-05-01,-1655.5067696419137,1205.153003561587,1205.1530035615867,-2860.6597732035007,-2860.6597732035007
2024-05-02,5218.657107966457,5218.65710796645,5218.65710796645,7.275957614183426e-12,7.275957614183426e-12
2024-05-03,3271.0095494628185,3271.009549462828,3271.009549462828,-9.549694368615746e-12,-9.549694368615746e-12
2024-05-06,4272.009873862844,4272.0098738628385,4272.0098738628385,5.4569682106375694e-12,5.4569682106375694e-12
2024-05-07,-678.5473772956175,-678.5473772956192,-678.5473772956192,1.7053025658242404e-12,1.7053025658242404e-12
2024-05-08,1851.146837624081,1851.146837624076,1851.146837624076,5.002220859751105e-12,5.002220859751105e-12
2024-05-09,2121.1463394355087,2121.146339435528,2121.146339435528,-1.9099388737231493e-11,-1.9099388737231493e-11
2024-05-10,-717.3200005617109,-717.3200005617676,-717.3200005617675,5.67297320230864e-11,5.661604518536478e-11
2024-05-13,-2082.335634272953,-2082.3356342729367,-2082.335634272936,-1.6370904631912708e-11,-1.6825651982799172e-11
2024-05-14,3179.5301464168588,3179.5301464169024,3179.530146416903,-4.3655745685100555e-11,-4.411049303598702e-11
2024-05-15,7722.258770264802,7722.258770264756,7722.258770264756,4.547473508864641e-11,4.547473508864641e-11
2024-05-16,-4674.467212430463,-4674.467212430447,-4674.467212430447,-1.6370904631912708e-11,-1.6370904631912708e-11
2024-05-17,2260.2306607185456,2260.230660718548,2260.230660718548,-2.2737367544323206e-12,-2.2737367544323206e-12
2024-05-20,2449.4371102678415,2449.4371102678624,2449.4371102678624,-2.091837814077735e-11,-2.091837814077735e-11
2024-05-21,-521.7050696596561,-521.7050696596957,-521.7050696596958,3.956301952712238e-11,3.9676706364843994e-11
2024-05-22,-1148.63017390616,-1148.6301739061519,-1148.6301739061519,-8.185452315956354e-12,-8.185452315956354e-12
2024-05-23,-1679.863974752603,-1679.8639747526004,-1679.8639747526004,-2.7284841053187847e-12,-2.7284841053187847e-12
2024-05-24,5933.802395744657,5933.802395744703,5933.802395744705,-4.638422979041934e-11,-4.8203219193965197e-11
2024-05-27,0.0,0.0,0.0,0.0,0.0
2024-05-28,-476.0709720151499,-476.07097201518405,-476.0709720151841,3.416289473534562e-11,3.4219738154206425e-11
2024-05-29,-3303.6363442272996,-3303.6363442272827,-3303.636344227283,-1.6825651982799172e-11,-1.6370904631912708e-11
2024-05-30,-2202.5087247957417,-2202.5087247957904,-2202.508724795791,4.865796654485166e-11,4.9112713895738125e-11
2024-05-31,-1102.8765582318301,-1102.8765582317749,-1102.8765582317758,-5.525180313270539e-11,-5.434230843093246e-11
2024-06-03,117.30266463651787,11627.451042979612,11627.451042979612,-11510.148378343094,-11510.148378343094
2024-06-04,-1761.4731124696555,-1761.473112469716,-1761.473112469716,6.048139766789973e-11,6.048139766789973e-11
2024-06-05,4294.321757030557,4294.321757030637,4294.321757030637,-8.003553375601768e-11,-8.003553375601768e-11
2024-06-06,-3508.778661381599,-3508.778661381651,-3508.7786613816515,5.2295945351943374e-11,5.275069270282984e-11
2024-06-07,-803.6282735165441,-803.6282735165247,-803.6282735165247,-1.944044925039634e-11,-1.944044925039634e-11
2024-06-10,3007.351909701043,3007.3519097010108,3007.351909701011,3.228706191293895e-11,3.183231456205249e-11
2024-06-11,-2824.665406444634,-2824.6654064446325,-2824.665406444633,-1.3642420526593924e-12,-9.094947017729282e-13
2024-06-12,3055.1651496071136,3055.1651496071336,3055.1651496071336,-2.000888343900442e-11,-2.000888343900442e-11
2024-06-13,-3056.4546128515503,-3056.4546128515526,-3056.454612851552,2.2737367544323206e-12,1.8189894035458565e-12
2024-06-14,-3360.562859458878,-3360.562859458866,-3360.562859458866,-1.1823431123048067e-11,-1.1823431123048067e-11
2024-06-17,2030.5123809741926,2030.5123809741758,2030.5123809741758,1.6825651982799172e-11,1.6825651982799172e-11
2024-06-18,1195.303216026863,1195.3032160268945,1195.3032160268942,-3.1377567211166024e-11,-3.115019353572279e-11
2024-06-19,0.0,0.0,0.0,0.0,0.0
2024-06-20,-741.3087199988659,-741.3087199988898,-741.30871999889,2.3987922759260982e-11,2.4101609596982598e-11
2024-06-21,-618.5085527343617,-618.5085527342904,-618.5085527342904,-7.128164725145325e-11,-7.128164725145325e-11
2024-06-24,-1263.4499205109023,-1263.4499205109698,-1263.44992051097,6.752998160663992e-11,6.775735528208315e-11
2024-06-25,2046.571492922667,2046.571492922645,2046.5714929226451,2.205524651799351e-11,2.1827872842550278e-11
2024-06-26,-1532.096026184241,-1532.096026184245,-1532.0960261842451,3.865352482534945e-12,4.092726157978177e-12
2024-06-27,1013.4779050436046,1013.4779050435909,1013.4779050435908,1.3642420526593924e-11,1.375610736431554e-11
2024-06-28,-1706.2633475770708,-1706.2633475770085,-1706.2633475770083,-6.230038707144558e-11,-6.252776074688882e-11
2024-07-01,910.4283506202337,12388.05323414416,12388.05323414416,-11477.624883523926,-11477.624883523926
